,Unnamed:_0,Formatted_Date,Summary,Precip_Type,Temperature____,Apparent_Temperature____,Humidity,Wind_Speed__km_h_,Wind_Bearing__degrees_,Visibility__km_,Loud__over,Pressure__millibars_,Daily_Summary
0,24,2006-04-10 00:00:00.000 +0200,Partly Cloudy,rain,10.42222222222222,10.42222222222222,0.62,16.985500000000002,150.0,15.826300000000002,0.0,1014.4,Mostly cloudy throughout the day.
1,48,2006-04-11 00:00:00.000 +0200,Overcast,rain,13.77222222222222,13.77222222222222,0.6,17.0982,160.0,15.826300000000002,0.0,1007.36,Foggy in the evening.
2,72,2006-04-12 00:00:00.000 +0200,Foggy,rain,8.199999999999998,5.072222222222224,0.96,20.447,341.0,3.1073,0.0,1004.8,Foggy overnight and breezy in the morning.
3,96,2006-04-13 00:00:00.000 +0200,Mostly Cloudy,rain,7.316666666666667,6.211111111111111,0.75,6.6654,326.0,15.8746,0.0,1007.07,Overcast throughout the day.
4,120,2006-04-14 00:00:00.000 +0200,Mostly Cloudy,rain,6.622222222222224,4.111111111111111,0.85,12.719000000000001,142.0,14.9086,0.0,1012.22,Mostly cloudy throughout the day.
5,144,2006-04-15 00:00:00.000 +0200,Mostly Cloudy,rain,10.444444444444443,10.444444444444443,0.83,2.6404,63.0,15.8746,0.0,1014.75,Mostly cloudy throughout the day.
6,168,2006-04-16 00:00:00.000 +0200,Overcast,rain,12.266666666666666,12.266666666666666,0.69,14.1358,151.0,15.826300000000002,0.0,1016.8,Mostly cloudy throughout the day.
